2017-10-28T08:03:13.064Z,geoddd,빛 상 혁
2017-10-28T08:03:13.094Z,하늘규,점멸도 뻈네
2017-10-28T08:03:13.096Z,tlsgks78,느그 프
2017-10-28T08:03:13.109Z,kjije,힐뭐야ㅐ.?
2017-10-28T08:03:13.374Z,데일리몽,잔나 잘하네
2017-10-28T08:03:13.411Z,태쁘,깔 끔
2017-10-28T08:03:13.54Z,자일리톨플러스,와
2017-10-28T08:03:13.664Z,bok9zz9,킹구 탄성주먹
2017-10-28T08:03:13.976Z,새봄바라기,캬 갓이커
2017-10-28T08:03:14.076Z,행정부,갓ㅡㅡㅡㅡ구
2017-10-28T08:03:14.767Z,호로롱불,ㄲㅂ
2017-10-28T08:03:14.774Z,jkl1483,너무잘한다..
2017-10-28T08:03:14.98Z,베롱쓰,뱅이 뱅했을뿐
2017-10-28T08:03:15.181Z,mahamod151,빛 빛 빛
2017-10-28T08:03:15.196Z,오홍홍홍호옿,갓-구 대상혁 ㄷㄷ
2017-10-28T08:03:15.271Z,DaRongE,유체화까지 썻네
2017-10-28T08:03:15.419Z,빈센트로우,갓이다 진짜
2017-10-28T08:03:15.566Z,Tc130,캬
2017-10-28T08:03:15.567Z,딱코딱뎀딱카드,e스킬이 예술이네
2017-10-28T08:03:15.782Z,nohostt,대 상 혁
2017-10-28T08:03:16.121Z,클래식,끝에 딱 걸렷네
2017-10-28T08:03:16.187Z,스틸로짱,플 이상하게쓰네
2017-10-28T08:03:16.357Z,연승연승,아
2017-10-28T08:03:16.39Z,심패쉬,유체화도 빼네
2017-10-28T08:03:16.496Z,얼굴믿고가는편이야,유체화까지 뻇네
2017-10-28T08:03:16.518Z,듣기좋소,와 블랭크도 잘하네
2017-10-28T08:03:16.532Z,kyj3544,고스트 빠졋네
2017-10-28T08:03:16.602Z,dprkaz,매국 준
2017-10-28T08:03:16.613Z,굴단,유체화 ㅋ
2017-10-28T08:03:16.75Z,ucjin,땡기어~
2017-10-28T08:03:16.895Z,so_writer,갓파센세 ㅠㅠ
2017-10-28T08:03:16.949Z,klaiire,땡기엇
2017-10-28T08:03:17.017Z,karonano,버프먹은 갈리오쓰는 우리혁
2017-10-28T08:03:17.076Z,xmdnlclek90,진짜 개깔끔하다
2017-10-28T08:03:17.102Z,밍밍밍아,유체화 무엇?
2017-10-28T08:03:17.442Z,연백영,콤보 오진다 와
2017-10-28T08:03:17.586Z,justfillitup,ㅋㅋㅋㅋㅋ
2017-10-28T08:03:17.591Z,읔앸앸앸,깔끔
2017-10-28T08:03:17.7Z,메라평생팬,갈리오 역 e 오진다;
2017-10-28T08:03:17.736Z,새벽과밤,와 킬각 진짜 잘보네
2017-10-28T08:03:18.197Z,편집증,빛 상 혁
2017-10-28T08:03:18.254Z,끼군,연계 개깔끔하네 ㅋㅋㅋㅋ
2017-10-28T08:03:18.269Z,허쓰,갈리오 데미지 실화냐
2017-10-28T08:03:18.367Z,jae332211,바텀까지 스므스했음
2017-10-28T08:03:18.751Z,빛과소금그리고조강현,자크사기
2017-10-28T08:03:18.855Z,ruh0612,갓구나이트와 빛상혁 니뮤
2017-10-28T08:03:19.033Z,구구,유체화 ㅋㅋㅋㅋ
2017-10-28T08:03:19.534Z,잘보고던지게,도서관 실화냐?? 단체로 초가스w맞았네ㅐ
2017-10-28T08:03:19.738Z,qjfend2,빛 상 혁
2017-10-28T08:03:19.793Z,가나쇼콜라,ㅋㅋㅋ
2017-10-28T08:03:19.954Z,inthesafezone,대상혁
2017-10-28T08:03:20.2Z,TAeIV089,떙껴어어어어어
2017-10-28T08:03:20.271Z,wenzdei,갓 구
2017-10-28T08:03:20.442Z,가나하히비키,갓구 대상혁
2017-10-28T08:03:20.595Z,푸른세인,유체화 ㅋㅋㅋ
2017-10-28T08:03:20.679Z,빅사이닝,갓ㅡㅡㅡㅡ구
2017-10-28T08:03:20.771Z,무민,뒤도는거봐 이미 죽은줄 알아
2017-10-28T08:03:20.784Z,하루이틀동안,이속 빨라지라고 쓴거 아님?
2017-10-28T08:03:20.961Z,멘탈정신병자,skt 자크 ㅋㅋㅋㅋㅋㅋ
2017-10-28T08:03:21.071Z,탱노탱노,대 빛 혁....
2017-10-28T08:03:21.932Z,레이엔폰,박치기쓰는 스킬샷봐
2017-10-28T08:03:22.66Z,narangddd2,유체화?
2017-10-28T08:03:22.799Z,송도불방망이,진짜 페이커 엄청나다
2017-10-28T08:03:23.179Z,상추위에삼겹살,빛빛빛
2017-10-28T08:03:23.458Z,kowow,갓구 미쳤다 ㄷㄷㄷㄷ
2017-10-28T08:03:23.493Z,youngho1554,수를 봤네 패이커가
