2017-10-28T10:08:48.979Z,웃우,뱅 ㅋㅋ
2017-10-28T10:08:49.059Z,pksgpl,잼구 좀 너무못하는데
2017-10-28T10:08:49.062Z,teb5764,붕쯔붕쯔
2017-10-28T10:08:49.171Z,dogofv,힐안써주냐
2017-10-28T10:08:49.268Z,광우,잼구 심한데
2017-10-28T10:08:49.284Z,한만두,뱅 살릴라다 죽었네
2017-10-28T10:08:49.49Z,아몬드땅콩호두,힐쿨이었네
2017-10-28T10:08:49.541Z,이늬,세주아니좀주지마라 ㅠ쓔발꺼
2017-10-28T10:08:49.554Z,어둠의솦웅단,환상적이네
2017-10-28T10:08:49.712Z,linder707,세주를 밴하라고 꼬마 멍청아
2017-10-28T10:08:49.902Z,horang106,잼구 ㅋㅋㅋ
2017-10-28T10:08:50.057Z,hjg923,잼ㅡㅡ구
2017-10-28T10:08:50.139Z,jongwan1217,힐 없었구만
2017-10-28T10:08:50.238Z,붑사,플래시절대안씀
2017-10-28T10:08:50.583Z,너하고나,뱅은ㅋㅋㅋㅋ
2017-10-28T10:08:50.625Z,퓨레말,뱅구 ㅋㅋ
2017-10-28T10:08:50.685Z,알파와오메가,힐 실쿨이었네
2017-10-28T10:08:50.864Z,yooi21,잼구 진짜 점멸좀써라
2017-10-28T10:08:50.941Z,레이지쉘,스턴맞아ㅗㅅ구먼
2017-10-28T10:08:50.987Z,엉턱좌,타잘알 ㅋㅋ
2017-10-28T10:08:51.175Z,위글위글,자크점멸왜안씀 근데 ? ㅋㅋ
2017-10-28T10:08:51.723Z,하차중도,어리버리하다 뒤졋네
2017-10-28T10:08:52.213Z,jkl1483,황홀한 강타 타아아아아 릭!
2017-10-28T10:08:52.304Z,니나노강화제,울프 힐 쿨이었네 뭐
2017-10-28T10:08:52.403Z,핏빛자오선,쟤 왜 앞으로 감?
2017-10-28T10:08:52.515Z,wenzdei,이미 맞을꺼 다 맞아버렸다
2017-10-28T10:08:52.833Z,Sleepingwave,힐
2017-10-28T10:08:53.421Z,쌍방개이득ㆍ골뱅이,킹주갓니
2017-10-28T10:08:53.451Z,segno1025,잼구=배그넛
