words,counts
ㄷㄷ,2965
페이커,2147
진짜,1848
삼성,1481
??,1176
100,1125
ㅠㅠ,1084
야스오,648
무엇,647
큐베,519
너무,501
갓구,490
룰러,488
엠비션,477
피넛,474
오늘,454
ㄹㅇ,447
후니,423
ㅗㅜㅑ,390
이거,385
