words,counts
삼성,1951
롱주,1792
ㄷㄷ,1711
진짜,809
??,583
큐베,577
짜황,489
크라운,440
룰러,431
프레,399
오늘,392
무엇,386
세주,378
바나나,372
비디디,341
엠비션,335
이거,320
ㅈㅈ,313
너무,296
ㅠㅠ,296
