1509154116,uut7034,뱅 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1509154116,kst47,페이커 딜러주면 상대 정글 미드에 사는거 뻔한데 페이커 딜러간다고 달라지는게 없을듯 그러면 슼정글러가 같이 봐줘야하는데 그럴꺼면 피말고 블랭크가 나왔어야지
1509154116,나메형,기도메타
1509154116,초코맛티라미수,뱅 제발
1509154117,red6634,OptimizePrime
1509154117,로드트립,뱅뱅뱅
1509154117,sanghoon412,홈버프 제대로네
1509154117,bidori2001,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1509154117,하얀무우,잼넛 재발 ㅠㅠ
1509154117,kcw307,형들..
1509154117,leg0107,100
1509154117,비오면파전,피ㅡㅡㅡㅡ넛
1509154117,si733,정신차려라 100
1509154117,kangkang1,연기 ㄷㄷ
1509154117,은주찡,뱅
1509154117,남후,사실만 말해도 저격이 되는 뱅 당신은 대체...
1509154118,트레기,블블블넛넛
1509154118,겜알못,100
1509154118,ajsp02170,피넛나옴?
1509154118,pshsb1004,??
1509154118,키리토,이미지 트레이닝함?
1509154118,dafodi,지금 열심히 중국팀 포장중 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1509154118,pxsona,왕호야 정신차리자
1509154118,탱노탱노,뭘 없긴 뭐가 없어 그냥 대놓고 버스도 못타는 원딜인데 포장 열심히 하네
1509154118,뵤뎌,뱅 멘탈나갓죠 ㅋㅋ
1509154118,제로콜,쯧..
1509154118,불로한약,뱅 ㅋㅋ
1509154119,cigna2,갓넛ㄷㄷ
1509154119,tkdxor23,왕호야
1509154119,이스거,그래 기도해라
1509154119,푸른세인,명상
1509154119,ucjin,100
1509154119,sounsun1,솔직히 페이커덕분에 4강까지 꾸역꾸역 올라온건데 떨어져도 할말없지 뭐 ㅋㅋ
1509154119,붕아너의미래다,똑같은말 앵무새처럼 도배 하는 꼬마들 뭐냐 ㅋㅋㅋㅋㅋㅋㅋㅋ
1509154119,낙화백,뱅 멋진척하네 ㅋㅋ
1509154119,hs422,뱅 ㅋㅋㅋㅋㅋㅋㅋ
1509154120,SizFryMeat,100
1509154120,와이키베베,100
1509154120,퍼펙트블루,피 ㅡ넛
1509154120,세헤라자드,100은 도대체 얼마나 호구처럼 진거냐
1509154120,bigdolchangman,피넛 가자
1509154120,bestmanner,뱅 우승
1509154120,꼬몽니,왕호야 실화냐
1509154120,웁곰,100 멘탈 터졌는데 ㅋ?
1509154120,쿠우야,100
1509154120,금유성,#SSG Win
1509154120,plasma03,"군자의 복수는 10년을..,"
1509154121,도동뇽,ㅋ
1509154121,마루히,졌네
1509154121,Onulie112,은퇴경기
1509154121,새벼기발갓습니다,뱅 지금 멘탈나갓어 ㅋㅋ
1509154121,강정이,기-도
1509154121,linder707,skt 포기했구나 피넛이 보이네.
1509154121,ㅌㅌㅌㅌ,BlessRNG BlessRNG
1509154121,키약,나에게 힘을줘 .. !
1509154121,냐햨,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
